scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
iTst_310_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_311_1e3,1,5000,500,1000,142,13.0,1.0,0.8571,0.3,0.1667
iTst_31_1e3,1,5000,500,1000,153,0.0,20.0,-1.0,-0.5128,-0.303
iTst_312_1e3,1,5000,500,1000,163,1.0,1.0,0.0,0.0,0.0
iTst_313_1e3,1,5000,500,1000,149,2.0,1.0,0.3333,0.0303,0.0222
iTst_314_1e3,1,5000,500,1000,140,0.0,0.0,nan,0.0,0.0
iTst_315_1e3,1,5000,500,1000,152,1.0,20.0,-0.9048,-0.475,-0.2754
iTst_316_1e3,1,5000,500,1000,144,0.0,1.0,-1.0,-0.0435,-0.0294
iTst_317_1e3,1,5000,500,1000,151,0.0,0.0,nan,0.0,0.0
iTst_318_1e3,1,5000,500,1000,110,0.0,18.0,-1.0,-1.0,-0.439
iTst_319_1e3,1,5000,500,1000,155,0.0,9.0,-1.0,-0.36,-0.2308
iTst_3_1e3,1,5000,500,1000,177,0.0,14.0,-1.0,-0.4118,-0.2593
iTst_320_1e3,1,5000,500,1000,125,0.0,12.0,-1.0,-0.48,-0.2791
iTst_321_1e3,1,5000,500,1000,119,0.0,5.0,-1.0,-0.3333,-0.1613
iTst_32_1e3,1,5000,500,1000,149,0.0,0.0,nan,0.0,0.0
iTst_322_1e3,1,5000,500,1000,146,0.0,0.0,nan,0.0,0.0
iTst_323_1e3,1,5000,500,1000,135,1.0,0.0,1.0,0.0303,0.0227
iTst_324_1e3,1,5000,500,1000,146,0.0,9.0,-1.0,-0.5625,-0.3333
iTst_325_1e3,1,5000,500,1000,150,1.0,0.0,1.0,0.0213,0.0172
iTst_326_1e3,1,5000,500,1000,155,0.0,11.0,-1.0,-0.3143,-0.2157
iTst_327_1e3,1,5000,500,1000,154,0.0,1.0,-1.0,-0.0333,-0.0238
iTst_328_1e3,1,5000,500,1000,202,1.0,0.0,1.0,0.0204,0.0164
iTst_329_1e3,1,5000,500,1000,129,0.0,0.0,nan,0.0,0.0
iTst_330_1e3,1,5000,500,1000,132,0.0,0.0,nan,0.0,0.0
iTst_331_1e3,1,5000,500,1000,140,0.0,0.0,nan,0.0,0.0
iTst_33_1e3,1,5000,500,1000,148,2.0,12.0,-0.7143,-0.2632,-0.1639
iTst_332_1e3,1,5000,500,1000,161,0.0,22.0,-1.0,-0.5366,-0.3333
iTst_333_1e3,1,5000,500,1000,151,0.0,0.0,nan,0.0,0.0
iTst_334_1e3,1,5000,500,1000,149,0.0,1.0,-1.0,-0.037,-0.0278
iTst_335_1e3,1,5000,500,1000,171,0.0,0.0,nan,0.0,0.0
iTst_336_1e3,1,5000,500,1000,134,0.0,2.0,-1.0,-0.087,-0.0488
iTst_337_1e3,1,5000,500,1000,139,1.0,0.0,1.0,0.0357,0.0263
iTst_338_1e3,1,5000,500,1000,150,0.0,6.0,-1.0,-0.2222,-0.1579
iTst_339_1e3,1,5000,500,1000,161,1.0,2.0,-0.3333,-0.027,-0.0192
iTst_340_1e3,1,5000,500,1000,150,0.0,0.0,nan,0.0,0.0
iTst_341_1e3,1,5000,500,1000,163,0.0,11.0,-1.0,-0.3667,-0.2115
iTst_34_1e3,1,5000,500,1000,155,0.0,0.0,nan,0.0,0.0
iTst_342_1e3,1,5000,500,1000,141,0.0,0.0,nan,0.0,0.0
iTst_343_1e3,1,5000,500,1000,130,0.0,8.0,-1.0,-0.381,-0.2424
iTst_344_1e3,1,5000,500,1000,154,0.0,0.0,nan,0.0,0.0
iTst_345_1e3,1,5000,500,1000,154,0.0,8.0,-1.0,-0.2424,-0.1818
iTst_346_1e3,1,5000,500,1000,141,0.0,1.0,-1.0,-0.04,-0.0286
iTst_347_1e3,1,5000,500,1000,127,0.0,15.0,-1.0,-0.6,-0.2885
iTst_348_1e3,1,5000,500,1000,135,1.0,1.0,0.0,0.0,0.0
iTst_349_1e3,1,5000,500,1000,146,0.0,16.0,-1.0,-0.5333,-0.3333
iTst_350_1e3,1,5000,500,1000,125,1.0,1.0,0.0,0.0,0.0
iTst_351_1e3,1,5000,500,1000,156,0.0,1.0,-1.0,-0.0357,-0.0233
iTst_35_1e3,1,5000,500,1000,141,0.0,1.0,-1.0,-0.0278,-0.0204
iTst_352_1e3,1,5000,500,1000,175,0.0,19.0,-1.0,-0.6552,-0.3519
iTst_353_1e3,1,5000,500,1000,135,0.0,0.0,nan,0.0,0.0
iTst_354_1e3,1,5000,500,1000,139,2.0,2.0,0.0,0.0,0.0
iTst_355_1e3,1,5000,500,1000,165,1.0,0.0,1.0,0.0278,0.02
iTst_356_1e3,1,5000,500,1000,174,3.0,1.0,0.5,0.0408,0.0333
iTst_357_1e3,1,5000,500,1000,159,2.0,0.0,1.0,0.0625,0.0465
iTst_358_1e3,1,5000,500,1000,137,0.0,1.0,-1.0,-0.027,-0.0204
iTst_359_1e3,1,5000,500,1000,140,1.0,0.0,1.0,0.0244,0.0204
iTst_360_1e3,1,5000,500,1000,145,1.0,7.0,-0.75,-0.1667,-0.1176
iTst_361_1e3,1,5000,500,1000,160,1.0,0.0,1.0,0.0233,0.02
iTst_36_1e3,1,5000,500,1000,157,5.0,0.0,1.0,0.1563,0.0862
iTst_362_1e3,1,5000,500,1000,149,1.0,0.0,1.0,0.0204,0.0139
iTst_363_1e3,1,5000,500,1000,142,0.0,2.0,-1.0,-0.0667,-0.0377
iTst_364_1e3,1,5000,500,1000,158,1.0,0.0,1.0,0.0256,0.0179
iTst_365_1e3,1,5000,500,1000,191,0.0,17.0,-1.0,-0.3696,-0.1954
iTst_366_1e3,1,5000,500,1000,149,1.0,0.0,1.0,0.0313,0.0217
iTst_367_1e3,1,5000,500,1000,153,0.0,0.0,nan,0.0,0.0
iTst_368_1e3,1,5000,500,1000,157,0.0,23.0,-1.0,-0.6216,-0.3194
iTst_369_1e3,1,5000,500,1000,151,2.0,1.0,0.3333,0.0185,0.0125
iTst_370_1e3,1,5000,500,1000,172,1.0,1.0,0.0,0.0,0.0
iTst_371_1e3,1,5000,500,1000,122,1.0,1.0,0.0,0.0,0.0
iTst_37_1e3,1,5000,500,1000,139,0.0,0.0,nan,0.0,0.0
iTst_372_1e3,1,5000,500,1000,142,0.0,2.0,-1.0,-0.069,-0.0541
iTst_373_1e3,1,5000,500,1000,128,0.0,0.0,nan,0.0,0.0
iTst_374_1e3,1,5000,500,1000,148,0.0,0.0,nan,0.0,0.0
iTst_375_1e3,1,5000,500,1000,134,1.0,9.0,-0.8,-0.2857,-0.1818
iTst_376_1e3,1,5000,500,1000,140,1.0,1.0,0.0,0.0,0.0
iTst_377_1e3,1,5000,500,1000,140,0.0,0.0,nan,0.0,0.0
iTst_378_1e3,1,5000,500,1000,149,2.0,0.0,1.0,0.0769,0.0435
iTst_379_1e3,1,5000,500,1000,109,0.0,0.0,nan,0.0,0.0
iTst_380_1e3,1,5000,500,1000,162,1.0,1.0,0.0,0.0,0.0
iTst_381_1e3,1,5000,500,1000,140,0.0,1.0,-1.0,-0.0385,-0.0244
